OBJECTID;DATE_REF;NO_COMMUNE;COMMUNE;BAT_TOTAL;BAT_SANS_LOG;BATLOG_TOT;MAISON_INDIV;BAT_LOG_1_2;BAT_LOG_3_9;BATLOG_10P;LOG_TOTAL;LOG_1_PIECE;LOG_2_PIECES;LOG_3_PIECES;LOG_4_PIECES;LOG_5_PIECES;LOG_6PLUS_PIECES;LOG_INC_PIECES;POPULATION;POP_HOMMES;POP_FEMMES;POP_CH;POP_ETR;AGE_0_19;AGE_20_64;AGE_65_PLUS;SHAPE.AREA;SHAPE.LEN
1;12-2025;6624;Gy;265;121;144;96;123;20;1;245;6;20;51;79;34;55;0;582;266;316;467;115;137;339;106;3286288.67175096;15240.2816909159
2;12-2025;6631;Onex;2107;795;1312;829;895;164;253;8589;1057;1716;2805;1884;770;357;0;19141;9157;9984;11985;7156;4071;11385;3685;2813932.56074989;8800.05439546464
3;12-2025;6641;Troinex;1309;612;697;522;587;96;14;1418;44;200;375;374;235;190;0;3365;1667;1698;2573;792;772;2047;546;3429907.71300309;9160.55490426903
20;12-2025;6639;Soral;346;149;197;120;158;37;2;379;14;29;102;97;77;58;2;934;436;498;754;180;212;513;209;2942051.19474893;12467.4550937562
21;12-2025;6627;Laconnex;395;189;206;166;196;7;3;278;9;20;39;88;64;58;0;713;358;355;610;103;149;401;163;3831199.10536772;9049.01870221439
25;12-2025;6625;Hermance;551;202;349;276;321;25;3;517;25;31;111;114;103;133;0;1236;603;633;877;359;260;708;268;4905640.41698055;10888.8112392036
27;12-2025;6645;Veyrier;4817;2052;2765;2378;2516;187;62;4696;286;419;844;1312;976;859;0;12269;5990;6279;8869;3400;3008;6879;2382;6496709.65385871;13652.67953931
28;12-2025;6628;Lancy;3320;1374;1946;986;1129;254;563;16635;1613;3212;5655;4336;1280;539;0;37669;18259;19410;23813;13856;8632;23334;5703;4774292.1260432;14848.3790977982
4;12-2025;6629;Meinier;697;362;335;190;247;65;23;941;41;153;272;230;137;108;0;2111;1018;1093;1684;427;470;1186;455;6953480.96601449;15469.4680484342
5;12-2025;6611;Chancy;555;266;289;195;234;47;8;628;23;67;172;222;93;51;0;1644;828;816;1273;371;444;996;204;5380929.02579446;13750.0235257876
6;12-2025;6607;Bernex;2615;973;1642;1006;1181;377;84;4780;258;635;1278;1494;710;405;0;11208;5530;5678;8556;2652;2416;6560;2232;12953893.7495298;23207.4387044333
7;12-2025;6618;Confignon;1432;622;810;583;638;149;23;1846;55;215;440;587;315;234;0;4570;2241;2329;3686;884;1010;2637;923;2772010.71823756;10900.0745581567
