year,commune,geography_level,proxy_purchasing_power_median_chf,proxy_index_canton_100,proxy_rank_within_year,all_persons_assujetties,all_q1_chf,all_median_chf,all_q3_chf,all_q3_q1_ratio,proxy_spread_iqr_chf,single_persons_assujetties,single_q1_chf,single_median_chf,single_q3_chf,single_q3_q1_ratio,married_persons_assujetties,married_q1_chf,married_median_chf,married_q3_chf,married_q3_q1_ratio,canton_median_chf
2014,Canton,canton,59185.0,100.0,,310208,35313.0,59185.0,93656.0,2.652167757,58343.0,160040,26471.0,52023.5,86761.0,3.277586793,150168,42502.75,65122.25,101933.5,2.398280111,59185.0
2014,Vandoeuvres,commune,93289.5,157.62355326518545,1.0,1769,42609.0,93289.5,205378.5,4.820073224,162769.5,761,3701.0,45293.0,105307.0,28.45366117,1008,72274.5,142530.5,297130.0,4.111131865,59185.0
2014,Avusy,commune,87582.25,147.98048492016557,2.0,1044,45067.75,87582.25,131921.0,2.92717076,86853.25,424,15400.5,55726.0,107635.5,6.989091263,620,69458.0,101090.5,142510.5,2.051750698,59185.0
2014,Cologny,commune,87015.0,147.02204950578695,3.0,3452,44344.0,87015.0,169797.0,3.829086235,125453.0,1552,11341.0,61770.5,111505.5,9.832069482,1900,64199.0,111992.25,221123.0,3.444337139,59185.0
2014,Choulex,commune,86205.0,145.6534594914252,4.0,767,47491.0,86205.0,142453.5,2.999589396,94962.5,383,16009.0,59801.0,117748.0,7.355112749,384,68241.5,104701.25,168103.25,2.463358074,59185.0
2014,Anières,commune,85298.5,144.12182140745122,5.0,1588,35403.0,85298.5,158422.5,4.474832641,123019.5,710,11375.0,47381.5,100302.0,8.817758242,878,67480.0,118984.5,200251.0,2.967560759,59185.0
2014,Aire-la-Ville,commune,84870.5,143.39866520233167,6.0,808,48260.75,84870.5,116920.75,2.422688209,68660.0,308,17498.0,62734.0,104563.0,5.97571151,500,66868.0,94029.0,120827.5,1.806955494,59185.0
2014,Gy,commune,84597.5,142.93739967897272,7.0,339,43927.0,84597.5,132553.0,3.017574612,88626.0,157,7624.0,54049.0,101041.0,13.25301679,182,65019.5,101868.0,145814.5,2.242627212,59185.0
2014,Cartigny,commune,84472.5,142.72619751626257,8.0,616,45202.75,84472.5,134045.5,2.965427988,88842.75,272,17831.0,57826.5,110036.5,6.171078459,344,62651.0,104016.5,151248.25,2.414139439,59185.0
2014,Collonge-Bellerive,commune,84394.0,142.5935625580806,9.0,5375,39660.0,84394.0,153224.5,3.863451841,113564.5,2289,8999.0,47864.0,103200.0,11.46794088,3086,65852.0,107019.5,189587.5,2.878993804,59185.0
2014,Soral,commune,83748.0,141.50206978119456,10.0,530,51105.0,83748.0,120225.0,2.352509539,69120.0,256,31461.5,76304.5,106486.5,3.384660617,274,61435.5,91170.5,132955.5,2.164147765,59185.0
2014,Veyrier,commune,82947.0,140.14868632254795,11.0,7638,41939.0,82947.0,139839.5,3.334354658,97900.5,3360,11480.0,51815.5,96998.0,8.449303136,4278,65301.0,108308.0,177539.0,2.718779192,59185.0
2014,Hermance,commune,82102.5,138.7218045112782,12.0,644,38114.5,82102.5,142213.75,3.731224337,104099.25,312,13796.5,56652.5,108006.5,7.828543471,332,59716.5,105744.0,184076.0,3.082498137,59185.0
2014,Troinex,commune,81017.5,136.88856973895415,13.0,1664,40853.5,81017.5,128510.5,3.145642356,87657.0,774,12095.0,54410.0,95679.0,7.910624225,890,64983.0,100660.5,149528.5,2.301040272,59185.0
2014,Corsier,commune,80619.0,136.21525724423418,14.0,1409,40414.0,80619.0,146002.5,3.612671352,105588.5,601,6523.0,45194.0,94152.0,14.43384946,808,67132.5,109167.0,185621.0,2.7649946,59185.0
2014,Collex-Bossy,commune,80322.0,135.71344090563485,15.0,1027,44410.0,80322.0,125288.0,2.821166404,80878.0,447,14677.0,58666.0,102828.0,7.00606391,580,64422.5,93675.75,135847.0,2.108688735,59185.0
2014,Laconnex,commune,79627.5,134.5400016896173,16.0,484,46060.5,79627.5,120758.5,2.621736629,74698.0,214,16370.0,61592.5,110123.0,6.727122786,270,64665.0,91337.5,130589.0,2.019469574,59185.0
2014,Genthod,commune,79530.0,134.37526400270337,17.0,1640,42604.5,79530.0,126276.5,2.963923999,83672.0,678,9357.0,50553.0,93862.0,10.03120658,962,63946.0,97412.5,144169.0,2.254542896,59185.0
2014,Jussy,commune,78445.5,132.54287403903015,18.0,891,42675.5,78445.5,123753.5,2.899872292,81078.0,391,19030.0,59629.0,101869.0,5.353074094,500,58447.0,89782.75,139214.0,2.381884442,59185.0
2014,Satigny,commune,77833.0,131.50798344175044,19.0,2623,46642.0,77833.0,111997.0,2.401204923,65355.0,1125,26781.0,62803.0,103262.0,3.855793286,1498,56847.0,83764.5,116131.5,2.042878252,59185.0
2014,Presinge,commune,77259.0,130.53814311058545,20.0,453,42975.0,77259.0,106286.5,2.473216987,63311.5,227,20196.0,62788.0,94319.0,4.670182214,226,56193.5,82451.5,126404.5,2.249450559,59185.0
2014,Pregny-Chambésy,commune,76780.0,129.72881642308016,21.0,1842,38619.5,76780.0,136357.5,3.530794029,97738.0,826,9236.0,53616.5,96064.0,10.40103941,1016,58905.0,94357.25,170432.0,2.893336729,59185.0
2014,Chancy,commune,76095.5,128.57227338007942,22.0,958,41599.0,76095.5,104849.0,2.520469242,63250.0,400,19676.5,57651.0,96732.0,4.916118212,558,53312.5,82877.0,109141.5,2.047202814,59185.0
2014,Russin,commune,74515.5,125.90267804342317,23.0,364,39710.0,74515.5,115932.5,2.919478721,76222.5,172,19689.5,65337.5,107376.5,5.453490439,192,52516.5,83789.25,120785.75,2.299958108,59185.0
2014,Plan-les-Ouates,commune,73372.0,123.97060065895076,24.0,6947,41165.5,73372.0,111913.0,2.718611459,70747.5,3223,16829.0,57465.0,98276.0,5.839681502,3724,56536.5,83672.25,121990.5,2.157729962,59185.0
2014,Confignon,commune,72915.0,123.19844555208246,25.0,3149,42288.0,72915.0,114757.0,2.713701286,72469.0,1343,12233.0,52729.0,94460.0,7.721736287,1806,58923.0,83704.5,130723.5,2.218547935,59185.0
2014,Céligny,commune,72897.0,123.1680324406522,26.0,429,37647.0,72897.0,128627.0,3.416660026,90980.0,171,11976.0,47101.0,88619.0,7.399716099,258,54266.5,91729.5,170683.5,3.145283001,59185.0
2014,Puplinge,commune,72554.5,122.58933851482638,27.0,1515,41555.0,72554.5,107357.0,2.583491758,65802.0,737,20875.0,56767.0,95489.0,4.574323353,778,55651.5,85197.5,118946.5,2.137345804,59185.0
2014,Bardonnex,commune,71437.0,120.70119118019768,28.0,1586,39677.0,71437.0,107893.5,2.719295814,68216.5,732,22318.5,56122.5,100038.5,4.482312879,854,51567.5,81469.5,119868.5,2.324497018,59185.0
2014,Meinier,commune,71289.5,120.45197262819971,29.0,1471,39918.0,71289.5,107133.0,2.683826845,67215.0,685,25232.0,57278.0,91608.0,3.630627774,786,54146.0,80430.0,118645.5,2.191214494,59185.0
2014,Chêne-Bougeries,commune,71019.0,119.99493114809496,30.0,7617,38299.0,71019.0,123499.5,3.22461422,85200.5,3715,23408.0,52682.0,93447.0,3.992096719,3902,52549.0,88591.0,172975.0,3.291689661,59185.0
2014,Bellevue,commune,70029.0,118.3222100194306,31.0,1805,39576.0,70029.0,106553.0,2.692364059,66977.0,787,14174.0,52325.0,94115.0,6.639974601,1018,53612.5,79077.5,113531.5,2.117631149,59185.0
2014,Bernex,commune,69596.5,117.59145053645351,32.0,7130,41079.0,69596.5,104616.5,2.546714866,63537.5,3314,21511.0,60330.5,94549.0,4.395379108,3816,51357.25,76896.5,112602.0,2.192523938,59185.0
2014,Dardagny,commune,66654.5,112.6205964349075,33.0,1029,39695.5,66654.5,95578.5,2.407791815,55883.0,487,21771.0,52836.0,86308.0,3.964356254,542,53008.0,74248.0,99201.0,1.8714345,59185.0
2014,Perly-Certoux,commune,66618.0,112.55892540339613,34.0,2177,41855.5,66618.0,99337.5,2.373344005,57482.0,1049,30194.0,62978.0,96016.0,3.17996953,1128,48203.75,70959.0,102334.75,2.122962425,59185.0
2014,Avully,commune,61876.5,104.54760496747485,35.0,1265,38618.0,61876.5,91127.5,2.359715677,52509.5,635,25573.0,54975.0,86607.0,3.386657803,630,47767.0,67591.5,94062.5,1.969194214,59185.0
2014,Grand-Saconnex,commune,61371.0,103.69350342147503,36.0,6567,35889.0,61371.0,94038.0,2.620245758,58149.0,3109,19966.0,53872.0,89688.0,4.492036462,3458,44314.0,65493.0,99183.0,2.238186578,59185.0
2014,Carouge,commune,58177.0,98.29686575990539,37.0,14294,35901.0,58177.0,90032.0,2.507785298,54131.0,7810,29036.0,53887.5,87657.0,3.018907563,6484,42367.0,61996.5,93675.5,2.211048694,59185.0
2014,Thônex,commune,58080.0,98.13297288164232,38.0,9839,34763.0,58080.0,94376.5,2.714854874,59613.5,4835,19674.0,46620.0,79724.0,4.052251703,5004,44419.5,67592.25,109140.0,2.457029008,59185.0
2014,Lancy,commune,58036.75,98.05989693334459,39.0,21016,36828.0,58036.75,84872.0,2.304550885,48044.0,10310,28861.0,54629.5,84501.0,2.927861127,10706,42064.5,60443.0,85050.0,2.021894947,59185.0
2014,Versoix,commune,57487.5,97.13187463039623,40.0,7833,33583.0,57487.5,89399.5,2.662046273,55816.5,3843,19190.0,48953.0,83933.0,4.373788431,3990,42002.5,62623.5,95600.0,2.276054997,59185.0
2014,Chêne-Bourg,commune,55428.5,93.65295260623469,41.0,5643,34432.0,55428.5,86772.0,2.520097584,52340.0,2947,25447.0,48896.0,81587.0,3.206153967,2696,40830.5,61190.75,94481.75,2.313999339,59185.0
2014,Genève,commune,55350.0,93.52031764805272,42.0,121451,33985.0,55350.0,88457.0,2.602824776,54472.0,69679,29944.0,52570.0,86860.0,2.900748063,51772,38021.0,58307.75,90976.0,2.392782936,59185.0
2014,Meyrin,commune,54165.0,91.51812114556053,43.0,13944,34511.75,54165.0,79406.5,2.300854057,44894.75,6716,26989.5,51216.5,80461.0,2.981196391,7228,38550.5,55847.75,78427.5,2.034409411,59185.0
2014,Onex,commune,53442.0,90.29652783644504,44.0,12914,34871.0,53442.0,80462.0,2.307418772,45591.0,6348,28333.5,48573.0,78103.5,2.756577902,6566,39239.5,57100.5,83068.5,2.116961225,59185.0
2014,Vernier,commune,49619.0,83.83712089211794,45.0,22662,31443.0,49619.0,74087.0,2.356231912,42644.0,10926,23814.0,44828.0,73194.0,3.073570169,11736,36374.25,52683.75,74766.25,2.055471934,59185.0
2015,Canton,canton,58925.25,100.0,,314744,34824.25,58925.25,93832.0,2.694444245,59007.75,163610,25497.0,51846.0,86803.0,3.404439738,151134,42350.0,65025.5,102615.5,2.423034238,58925.25
2015,Vandoeuvres,commune,94145.5,159.77106588431954,1.0,1748,39755.5,94145.5,195198.0,4.909962144,155442.5,774,4191.0,43831.5,104335.0,24.89501312,974,75761.5,145060.5,283509.5,3.742131558,58925.25
