name,brand_category,operator,shop,latitude,longitude,addr:housenumber,addr:street,addr:postcode,addr:city
Coop,Coop,,supermarket,46.1690059,6.1210727,2,Chem. de Vers,1228,Plan-les-Ouates
Migros,Migros,,supermarket,46.1920602,6.1641437,86,Route de Florissant,,Genève
COOP,Coop,,supermarket,46.1933065,6.1612764,56,Route de Florissant,1206,Genève
Migros,Migros,,supermarket,46.1908581,6.1524797,,,1206,
Migros,Migros,Société Coopérative Migros Genève,supermarket,46.2327669,6.1125251,,,,
Denner,Denner,,supermarket,46.2042764,6.15728,,,,
Coop,Coop,,supermarket,46.1854644,6.1440651,40,Avenue Cardinal-Mermillod,,Carouge GE
VOI,Migros,,supermarket,46.2010562,6.1399565,2,Place du Cirque,1204,Genève
Coop,Coop,,supermarket,46.1968712,6.1425339,12,Rue de Carouge,,Genève
Denner,Denner,,supermarket,46.1894889,6.1165247,,,,
Coop,Coop,,supermarket,46.1903282,6.1195706,3,Pl. des Ormeaux,,
Coop,Coop,,supermarket,46.1819051,6.1203549,,,,
Coop,Coop,,supermarket,46.187479,6.1046981,17-19,Rue des Bossons,1213,Onex
Denner,Denner,,supermarket,46.186525,6.1099949,,,,
Aldi,Aldi,,supermarket,46.187181,6.1112678,71,Route de Chancy,,Petit-Lancy
Denner,Denner,Denner,supermarket,46.2046388,6.1233132,,,,
Coop,Coop,Coop,supermarket,46.2040409,6.1245627,1,Avenue du Devin-du-Village,1203,Genève
Coop,Coop,,supermarket,46.204328,6.1619852,35,Rue de Montchoisy,1207,
Coop Vernier,Coop,,supermarket,46.2145319,6.0829705,28,Rue du Village,,Vernier
MM Migros - Les Cygnes,Migros,,supermarket,46.2110531,6.1447639,18-20,Rue de Lausanne,,
Denner,Denner,,supermarket,46.2307181,6.1178788,,,,
Coop,Coop,,supermarket,46.2311036,6.1188733,28,Chemin Edouard-Sarasin,,Le Grand-Saconnex
Migros,Migros,,supermarket,46.2163221,6.1394568,,,,
Migros,Migros,Migros,supermarket,46.2288146,6.1200851,20,Rue Sonnex,1218,Le Grand-Saconnex
Coop,Coop,,supermarket,46.2061895,6.1162444,100,Avenue d'Aïre,,Genève
